judul,tipe,kota,harga,harga_raw,lokasi,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,sumber,carport,url,tanggal_scrape
Masone,rumah-jual,samarinda,"Rp 1,3 Miliar",1300000000,,,,,,,rumah123,,https://www.rumah123.com/perumahan-baru/properti/samarinda/citraland-city-samarinda/nps2276/,03-22-26
Avella,rumah-jual,samarinda,Rp 740 Juta,740000000,,,,,,,rumah123,,https://www.rumah123.com/perumahan-baru/properti/samarinda/citragrand-senyiur-city-samarinda/nps2265/,03-22-26
Siap Huni Rumah Modern Minimalis dengan 2 Kamar di Samarinda,rumah-jual,samarinda,Rp 550 Juta,550000000,"Samarinda Kota, Samarinda",Samarinda Kota,90 m²,36 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-kota/siap-huni-rumah-modern-minimalis-dengan-2-kamar-di-samarinda-hos41119338/,03-22-26
Dijual Rumah 2Lt di Perum Grand Mahakam Residence Samarinda Kaltim,rumah-jual,samarinda,"Rp 2,8 Miliar",2800000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,135 m²,180 m²,4,3,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/dijual-rumah-2lt-di-perum-grand-mahakam-residence-samarinda-kaltim-hos41238474/,03-22-26
Dijual Rumah 4Kt Grand Mahakam Butuh Uang Cepat,rumah-jual,samarinda,"Rp 2,75 Miliar",2750000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,135 m²,180 m²,4 + 1,3 + 1,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/dijual-rumah-4kt-grand-mahakam-butuh-uang-cepat-hos41237016/,03-22-26
For Sale Rumah 2 Kamar Tidur Kondisi Bagus Modern Minimalis di Dalam Cluster Samarinda,rumah-jual,samarinda,"Rp 1,3 Miliar",1300000000,"Sungai Pinang, Samarinda",Sungai Pinang,126 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-sungai-pinang/for-sale-rumah-2-kamar-tidur-kondisi-bagus-modern-minimalis-di-dalam-cluster-samarinda-hos41131254/,03-22-26
Siap Huni Rumah Elegan Modern 2 Kamar dengan Kondisi Baru di Samarinda,rumah-jual,samarinda,Rp 750 Juta,750000000,"Loa Janan Ilir, Samarinda",Loa Janan Ilir,108 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-loa-janan-ilir/siap-huni-rumah-elegan-modern-2-kamar-dengan-kondisi-baru-di-samarinda-hos41119486/,03-22-26
Siap Huni Rumah Cantik 2 Lantai Free Canopy di Samarinda,rumah-jual,samarinda,Rp 900 Juta,900000000,"Samarinda Seberang, Samarinda",Samarinda Seberang,72 m²,55 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-seberang/siap-huni-rumah-cantik-2-lantai-free-canopy-di-samarinda-hos41138555/,03-22-26
"For Sale Rumah Modern Minimalis 2 Kamar di Samarinda, Free Canopy",rumah-jual,samarinda,Rp 550 Juta,550000000,"Samarinda Utara, Samarinda",Samarinda Utara,90 m²,36 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-utara/for-sale-rumah-modern-minimalis-2-kamar-di-samarinda-free-canopy-hos41121158/,03-22-26
"Siap Huni Rumah Modern 2 Kamar New Condi di Samarinda, Strategis Fasilitas Komplit",rumah-jual,samarinda,"Rp 1,3 Miliar",1300000000,"Samarinda Utara, Samarinda",Samarinda Utara,126 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-utara/siap-huni-rumah-modern-2-kamar-new-condi-di-samarinda-strategis-fasilitas-komplit-hos41131445/,03-22-26
For Sale Rumah Modern 2 Kamar Strategis Dalam Perumahan di Samarinda,rumah-jual,samarinda,Rp 550 Juta,550000000,"Samarinda Seberang, Samarinda",Samarinda Seberang,90 m²,36 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-seberang/for-sale-rumah-modern-2-kamar-strategis-dalam-perumahan-di-samarinda-hos41121114/,03-22-26
Siap Huni Rumah Elegan Modern dengan 2 Kamar & Fasilitas Komplit di Samarinda,rumah-jual,samarinda,Rp 750 Juta,750000000,"Samarinda Utara, Samarinda",Samarinda Utara,108 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-utara/siap-huni-rumah-elegan-modern-dengan-2-kamar-fasilitas-komplit-di-samarinda-hos41121765/,03-22-26
Siap Huni Rumah 2 Kamar Free Canopy Dalam Perumahan di Samarinda,rumah-jual,samarinda,"Rp 1,3 Miliar",1300000000,"Loa Janan Ilir, Samarinda",Loa Janan Ilir,126 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-loa-janan-ilir/siap-huni-rumah-2-kamar-free-canopy-dalam-perumahan-di-samarinda-hos41131285/,03-22-26
